date,unique_traders,total_pnl,avg_pnl,pnl_std,trade_count,median_pnl,total_volume,avg_trade_size,median_trade_size,buy_trades,buy_ratio,avg_price,price_volatility,min_price,max_price,profitable_ratio,avg_pnl_per_trader,price_range,volume_per_trader,pnl_volatility,rolling_pnl_7d,rolling_volume_7d,timestamp,value,classification,sentiment_value,sentiment_category,sentiment_score
2023-01-05,1,0.0,0.0,0.0,3,0.0,477.0,159.0,156.39,3,1.0,1898.1333333333332,0.4041451884326002,1897.9,1898.6,0.0,0.0,0.6999999999998181,477.0,0.0,0.0,477.0,1672896600,29,Fear,29,Fear,2
2023-05-12,1,0.0,0.0,0.0,9,0.0,50005.83,5556.203333333334,1935.95,7,0.7777777777777778,11038.3,17477.946554443974,2230.1,41867.0,0.0,0.0,39636.9,50005.83,0.0,0.0,25241.415,1683869400,49,Neutral,49,Neutral,3
2024-01-01,1,-129.53146,-7.196192222222223,85.84776860469921,18,0.0,264239.52999999997,14679.973888888888,9216.095000000001,10,0.5555555555555556,10373.330666666667,17773.70614824905,14.94,42693.0,0.0,-129.53146,42678.06,264239.52999999997,10.474103861539673,-43.17715333333334,104907.45333333332,1704087000,65,Greed,65,Greed,4
2024-01-02,1,0.0,0.0,0.0,6,0.0,2008.18,334.69666666666666,252.115,6,1.0,0.07612616666666668,0.0876728802091426,0.024577,0.25435,0.0,0.0,0.229773,2008.18,0.0,-32.382865,79182.635,1704173400,71,Greed,71,Greed,4
2024-01-03,1,8244.241409,60.176944591240876,111.95860869453276,137,27.04384,472974.7,3452.370072992701,1000.87,37,0.27007299270072993,2.725657408759124,2.904073684094302,0.004018,8.1169,1.0,8244.241409,8.112881999999999,472974.7,1.8300784624435567,1622.9419898,157941.048,1704259800,70,Greed,70,Greed,4
2024-01-04,2,2507.963406,32.57095332467532,92.06770180124278,77,0.54675,339470.47,4408.7074025974025,1041.48,32,0.4155844155844156,1332.2278167402596,1725.5880496159934,0.007531,3649.8,1.0,1253.981703,3649.792469,169735.235,2.7424810046597985,1770.4455591666665,188195.95166666666,1704346200,68,Greed,68,Greed,4
2024-01-05,1,0.0,0.0,0.0,14,0.0,87025.45,6216.103571428571,4871.745,14,1.0,2916.8142857142857,24.152746527779367,2885.5,2936.5,0.0,0.0,51.0,87025.45,0.0,1517.524765,173743.02285714285,1704432600,72,Greed,72,Greed,4
2024-01-06,1,91.510419,3.66041676,7.909299454844354,25,0.0,12834.62,513.3848,333.0,9,0.36,1.1308718,1.0389183982502748,0.007568,2.5841,1.0,91.510419,2.576532,12834.62,1.6971227815351762,1530.5976819999998,175508.39714285714,1704519000,70,Greed,70,Greed,4
2024-01-07,2,5065.839308,79.1537391875,207.33447463371925,64,0.0,362670.14999999997,5666.721093749999,423.28999999999996,6,0.09375,1312.7375605675,1705.9142479757836,0.0002933,3509.0,1.0,2532.919654,3508.9997067,181335.07499999998,2.586709949347605,2254.2890117142856,220174.72857142854,1704605400,71,Greed,71,Greed,4
2024-01-08,4,167.080017,2.9312283684210527,23.197203266011744,57,0.0,227774.53,3996.044385964912,1002.35,47,0.8245614035087719,18740.473002526316,28157.144286863113,0.000225,65310.0,1.0,41.77000425,65309.999775,56943.6325,5.90075190043684,2296.662079857143,214965.44285714283,1704691800,71,Greed,71,Greed,4
2024-01-09,1,137.433093,11.452757750000002,25.479618769976113,12,0.0,12359.68,1029.9733333333334,499.67499999999995,7,0.5833333333333334,44.57331249999999,64.01090091524229,0.14095,131.52,1.0,137.433093,131.37905,12359.68,2.046102500466301,2316.2953788571426,216444.22857142854,1704778200,76,Extreme Greed,76,Extreme Greed,5
2024-01-10,1,0.0,0.0,0.0,4,0.0,139954.32,34988.58,31787.215,4,1.0,62044.5,142.6055164898365,61921.0,62168.0,0.0,0.0,247.0,139954.32,0.0,1138.5466061428572,168869.88857142857,1704864600,73,Greed,73,Greed,4
2024-01-11,2,1040.475736,45.238075478260875,154.1983753462747,23,0.0,260981.03,11347.001304347827,2753.9,13,0.5652173913043478,27379.532136956524,34916.24329270276,0.51618,70632.0,1.0,520.237868,70631.48382,130490.515,3.3348787498470185,928.9055104285715,157657.11142857143,1704951000,76,Extreme Greed,76,Extreme Greed,5
2024-01-12,9,40886.364494,98.28453003365385,338.03944268346726,416,0.5600160000000001,814711.82,1958.441875,296.565,144,0.34615384615384615,6389.235122030456,23868.612594146103,4.53e-06,97403.0,1.0,4542.929388222223,97402.99999547,90523.53555555554,3.4047544221530197,6769.814723857143,261612.30714285714,1705037400,71,Greed,71,Greed,4
2024-02-01,1,783.979116,46.11641858823529,134.42834386429288,17,0.0,121348.74,7138.1611764705885,2439.38,9,0.5294117647058824,10199.892598764705,18953.92703976332,0.084411,43510.0,1.0,783.979116,43509.915589,121348.74,2.85311039956375,6868.738823428573,277114.32428571425,1706765400,63,Greed,63,Greed,4
2024-02-02,1,456.423473,10.867225547619048,41.93124714430262,42,0.0,474278.43,11292.343571428572,3708.865,19,0.4523809523809524,15601.771341142858,19639.423920350528,0.057923,43100.0,1.0,456.423473,43099.942077,474278.43,3.533365652826527,6210.250847,293058.3642857143,1706851800,63,Greed,63,Greed,4
2024-02-03,2,230.90060000000005,7.448406451612905,250.64780257055287,31,1.3124,63197.56,2038.6309677419354,269.86,28,0.9032258064516129,0.8005309032258064,0.6194783616347095,0.00419,1.3872,1.0,115.45030000000003,1.38301,31598.78,29.66805681119913,6219.368073142857,269547.3685714285,1706938200,60,Greed,60,Greed,4
2024-02-04,2,883.760812,21.555141756097562,78.23542802217051,41,0.0,239664.50999999998,5845.475853658536,3300.9,10,0.24390243902439024,3060.7089024390243,1013.4302257071722,0.895,3501.5,1.0,441.880406,3500.605,119832.25499999999,3.468629409124433,6325.9863187142855,302019.4871428571,1707024600,60,Greed,60,Greed,4
2024-02-06,1,192.906947,2.074268247311828,4.425015055071825,93,0.0,29464.51,316.822688172043,221.94,34,0.3655913978494624,1.0599227956989248,0.363102874623006,0.60441,1.43,1.0,192.906947,0.8255899999999999,29464.51,1.439371811142734,6353.544454000001,286235.22857142857,1707197400,64,Greed,64,Greed,4
2024-02-07,1,2421.253116,134.514062,226.36405308073617,18,10.35,33347.47,1852.6372222222224,218.55,13,0.7222222222222222,3.4119444444444444,0.4751156023070126,2.8999,3.95,1.0,2421.253116,1.0501,33347.47,1.6704100647557607,6550.798365428572,253716.14857142855,1707283800,62,Greed,62,Greed,4
2024-02-08,3,782.3681909999999,12.418542714285714,44.14907581961201,63,0.0,396320.37,6290.799523809524,2129.53,42,0.6666666666666666,14406.321016984128,24246.100310630554,0.00022,63971.0,1.0,260.78939699999995,63970.99978,132106.79,3.290154285726557,821.6560364285714,193945.94142857142,1707370200,66,Greed,66,Greed,4
2024-02-09,1,0.0,0.0,0.0,2,0.0,30000.42,15000.21,15000.21,2,1.0,2426.1,0.0,2426.1,2426.1,0.0,0.0,0.0,30000.42,0.0,709.6590198571428,180896.18142857144,1707456600,72,Greed,72,Greed,4
2024-02-10,1,0.0,0.0,0.0,4,0.0,99954.34,24988.585,20954.905000000002,4,1.0,60911.0,0.0,60911.0,60911.0,0.0,0.0,0.0,99954.34,0.0,644.4556665714284,127421.31142857144,1707543000,74,Greed,74,Greed,4
2024-02-11,1,0.0,0.0,0.0,2,0.0,40000.0,20000.0,20000.0,2,1.0,68880.0,0.0,68880.0,68880.0,0.0,0.0,0.0,40000.0,0.0,611.4698665714285,124107.37428571428,1707629400,71,Greed,71,Greed,4
2024-02-12,8,18489.604313,68.48001597407408,379.90364074572494,270,0.0,585243.56,2167.568740740741,149.885,156,0.5777777777777777,6137.360651434223,23395.974646335806,4.64e-06,97323.0,1.0,2311.200539125,97322.99999536,73155.445,5.467811649431442,3126.5903667142857,173475.81,1707715800,70,Greed,70,Greed,4
2024-03-01,1,866.015507,12.925604582089552,50.415365667933756,67,0.0,394499.36,5888.050149253731,2102.78,32,0.47761194029850745,738.8837898507463,1048.4157183426262,0.97873,2237.3,1.0,866.015507,2236.3212700000004,394499.36,3.620335861954288,3222.7487324285717,225623.64571428573,1709271000,80,Extreme Greed,80,Extreme Greed,5
2024-03-02,1,223.30918699999998,3.9876640535714283,68.62663189543068,56,0.0,603820.0,10782.5,3788.38,18,0.32142857142857145,29939.640223214286,19282.53294251475,0.0525,43305.0,1.0,223.30918699999998,43304.9475,603820.0,13.759273110283042,2908.7567425714287,307119.7214285714,1709357400,80,Extreme Greed,80,Extreme Greed,5
2024-03-03,1,8361.086245,105.83653474683545,199.82398269178753,79,15.04116,390745.68,4946.1478481012655,805.5,36,0.45569620253164556,3.0333498607594938,7.629637709299519,0.003796,30.423,1.0,8361.086245,30.419203999999997,390745.68,1.8703712467396965,3991.4307502857146,306323.33714285714,1709443800,83,Extreme Greed,83,Extreme Greed,5
2024-03-04,2,126.7884,31.6971,63.3942,4,0.0,16887.57,4221.8925,3443.955,3,0.75,8.3283,4.2287486399643095,4.5807,11.99,1.0,63.3942,7.4093,8443.785,1.9388324958482557,4009.543378857143,304450.07285714283,1709530200,82,Extreme Greed,82,Extreme Greed,5
2024-03-05,3,5306.017045,147.3893623611111,280.85451321791754,36,0.0,282682.64999999997,7852.295833333333,1991.1950000000002,3,0.08333333333333333,1960.4601549999998,1494.2304167812372,0.11795,3080.9,1.0,1768.6723483333333,3080.7820500000003,94227.54999999999,1.8926863000761975,4767.545813857143,330554.11714285717,1709616600,90,Extreme Greed,90,Extreme Greed,5
2024-03-06,1,562.808208,8.040117257142859,11.849209775400267,70,4.63499,21466.86,306.66942857142857,221.95,44,0.6285714285714286,1.3030562857142858,0.21869007595736015,0.64945,1.435,1.0,562.808208,0.7855500000000001,21466.86,1.310736292279601,4847.946986428571,327906.52571428573,1709703000,75,Extreme Greed,75,Extreme Greed,5
2024-03-07,2,1118.387284,62.132626888888886,130.94390209637675,18,0.0,179600.66,9977.814444444444,2957.515,18,1.0,2039.0916666666667,1670.9943138258234,3.45,3354.4,1.0,559.193642,3350.9500000000003,89800.33,2.0741082471799124,2366.344553714286,269957.54,1709789400,82,Extreme Greed,82,Extreme Greed,5
2024-03-08,5,464.1897,12.545667567567568,76.3123165975776,37,0.0,290532.86,7852.239459459459,4534.09,36,0.972972972972973,2718.8256902127027,804.3609430846107,0.000215,2968.3,1.0,92.83794,2968.299785,58106.572,5.633706586768186,2308.9408670000003,255105.18285714285,1709875800,81,Extreme Greed,81,Extreme Greed,5
2024-03-10,2,100.375782,11.152864666666666,20.273575382952355,9,0.0,132935.69,14770.632222222222,4525.05,6,0.6666666666666666,26799.238066666665,31775.92122620566,3.3968,60295.0,1.0,50.187891,60291.6032,66467.845,1.6682137042601553,2291.378952,187835.9957142857,1710048600,79,Extreme Greed,79,Extreme Greed,5
2024-03-11,2,0.0,0.0,0.0,6,0.0,129055.66,21509.27666666667,19456.93,6,1.0,45208.04899166667,35019.27476760649,0.1464,68415.0,0.0,0.0,68414.8536,64527.83,0.0,1096.938059857143,150451.70714285714,1710135000,82,Extreme Greed,82,Extreme Greed,5
2024-03-12,8,23576.539285,63.03887509358289,229.00768096588675,374,0.0,1084666.53,2900.177887700535,499.645,170,0.45454545454545453,2354.399729529412,14614.148396105858,0.040677,95834.0,1.0,2947.067410625,95833.959323,135583.31625,3.5760728250024307,4446.902472,302991.5585714286,1710221400,81,Extreme Greed,81,Extreme Greed,5
2024-04-01,1,-67.60364,-13.520728,29.544005214373353,5,-0.0786,99792.54000000001,19958.508,3335.99,2,0.4,2212.62,1.625423021862385,2211.4,2214.4,0.0,-67.60364,3.0,99792.54000000001,2.034609092214478,3679.2423741428565,276864.4,1711949400,79,Extreme Greed,79,Extreme Greed,5
2024-04-02,1,47.62389499999999,1.360682714285714,31.922762604224417,35,-0.02695,203187.53,5805.358,2314.37,19,0.5428571428571428,12108.636457142857,18462.1662366605,0.047,42994.0,1.0,47.62389499999999,42993.953,203187.53,13.522682404985323,3605.6446151428568,302824.4957142857,1712035800,79,Extreme Greed,79,Extreme Greed,5
2024-04-03,2,27799.775742,92.66591914,152.8211043688667,300,30.85353,1577996.87,5259.989566666667,902.695,161,0.5366666666666666,419.88134141,5126.79646418248,0.007001,62927.0,1.0,13899.887871,62926.992999,788998.435,1.6315550604958993,7417.271537714286,502595.3828571429,1712122200,71,Greed,71,Greed,4
2024-04-04,1,0.0,0.0,0.0,32,0.0,95987.73,2999.6165625,961.4749999999999,0,0.0,3401.434375,34.823218147917345,3332.3,3431.1,0.0,0.0,98.79999999999973,95987.73,0.0,7350.958723428571,474803.22142857144,1712208600,70,Greed,70,Greed,4
2024-04-05,2,0.0,0.0,0.0,9,0.0,58998.75,6555.416666666667,3993.33,0,0.0,2089.1695403333333,1566.937536881801,0.008621,3145.4,0.0,0.0,3145.391379,29499.375,0.0,7336.619326,464240.80142857146,1712295000,79,Extreme Greed,79,Extreme Greed,5
2024-04-06,1,52.211438,0.9851214716981133,2.4828445149485265,53,0.0,24243.41,457.42283018867926,340.43,25,0.4716981132075472,13394.864554716982,28011.42348267147,1.1459,71041.0,1.0,52.211438,71039.8541,24243.41,1.2507267441043044,7344.078102857143,449267.6228571429,1712381400,75,Extreme Greed,75,Extreme Greed,5
2024-04-07,2,0.0,0.0,0.0,25,0.0,430568.01,17222.720400000002,8103.87,25,1.0,2795.886,1054.382446478348,3.15,3273.1,0.0,0.0,3269.95,215284.005,0.0,3976.0010621428564,355824.9771428572,1712467800,78,Extreme Greed,78,Extreme Greed,5
2024-04-08,5,-122672.000883,-965.9212667952756,3618.961540622186,127,0.0,1207744.07,9509.795826771655,1111.06,60,0.47244094488188976,11138.705859755904,20410.18490987046,1.7e-05,59461.0,0.0,-24534.4001766,59460.999983,241548.814,3.7427675498510076,-13538.912829714287,514103.76714285713,1712554200,76,Extreme Greed,76,Extreme Greed,5
2024-04-09,2,1065.785132,31.346621529411763,462.16602470807555,34,0.0,131480.97,3867.0873529411765,103.485,31,0.9117647058823529,5402.028013264706,16155.750126182355,0.019315,56486.0,1.0,532.892566,56485.980685,65740.485,14.287922597661167,-13393.46122442857,503859.9728571429,1712640600,80,Extreme Greed,80,Extreme Greed,5
2024-04-10,1,0.0,0.0,,1,0.0,0.34,0.34,0.34,0,0.0,0.0011,,0.0011,0.0011,0.0,0.0,0.0,0.34,,-17364.857759000002,278431.89714285714,1712727000,78,Extreme Greed,78,Extreme Greed,5
2024-04-11,2,2799.410474,77.76140205555555,118.94285081013497,36,29.134382,451811.97,12550.332499999999,7595.200000000001,13,0.3611111111111111,49681.014294444445,31251.03407730779,0.15144,69264.0,1.0,1399.705237,69263.84856,225905.985,1.5101667530783267,-16964.941977000002,329263.9314285714,1712813400,76,Extreme Greed,76,Extreme Greed,5
2024-04-12,7,292891.815021,918.1561599404388,4090.2838520231076,319,0.0,769287.65,2411.5600313479626,272.25,96,0.30094043887147337,3922.991142316614,19020.163181879107,0.007906,96973.0,1.0,41841.687860142854,96972.992094,109898.23571428572,4.450042365258323,24876.745883142856,430733.77428571426,1712899800,79,Extreme Greed,79,Extreme Greed,5
2024-05-01,1,164.141565,2.486993409090909,60.7235758141571,66,0.0,1703942.66,25817.31303030303,4257.8,31,0.4696969696969697,30495.46818181818,19454.241857154553,2222.2,44642.0,1.0,164.141565,42419.8,1703942.66,17.414307596867037,24892.735901285712,670690.8099999999,1714541400,54,Neutral,54,Neutral,3
2024-05-02,1,-33.45419400000003,-0.4646415833333337,46.10792460482958,72,0.0,770198.26,10697.198055555556,3621.485,33,0.4583333333333333,15958.2223625,19622.221756634914,1.7567,42828.0,0.0,-33.45419400000003,42826.2433,770198.26,31.48068792359011,24887.956730714282,719209.4171428571,1714627800,43,Fear,43,Fear,2
2024-05-03,1,19791.026041,109.95014467222222,195.65804028577477,180,34.3644515,841810.32,4676.724,1247.5749999999998,55,0.3055555555555556,0.3816785944444444,0.7007169708826589,0.006013,2.474,1.0,19791.026041,2.4679870000000004,841810.32,1.7634771082435574,45239.817719857136,666933.1671428571,1714714200,48,Neutral,48,Neutral,3
2024-05-04,3,10706.484306,107.06484306,304.1028007265851,100,8.978760000000001,503791.8,5037.918,623.395,17,0.17,330.28005890000003,986.0322455497284,0.7612,3312.3,1.0,3568.828102,3311.5388000000003,167930.6,2.814077105148253,46617.06045899999,720120.4285714285,1714800600,67,Greed,67,Greed,4
2024-05-05,2,0.916,0.15266666666666667,0.37395543406489856,6,0.0,24068.350000000002,4011.391666666667,251.54,1,0.16666666666666666,2099.545833333333,1618.3325482686698,10.173,3144.2,1.0,0.458,3134.027,12034.175000000001,0.3244263453425956,46617.19131614285,723558.7157142857,1714887000,69,Greed,69,Greed,4
2024-05-06,1,56.055506,1.038064925925926,2.9096994557928553,54,0.0,25350.77,469.4587037037037,526.8299999999999,17,0.3148148148148148,2682.9926944444446,13675.037816024133,4.9307,71764.0,1.0,56.055506,71759.0693,25350.77,1.427677508591112,46225.28346357143,662635.6871428571,1714973400,71,Greed,71,Greed,4
2024-05-07,2,0.0,0.0,0.0,32,0.0,272289.89,8509.0590625,2858.9700000000003,32,1.0,1837.889625,1445.7108930489255,0.021,3025.0,0.0,0.0,3024.979,136144.945,0.0,4383.595603428572,591636.0071428571,1715059800,68,Greed,68,Greed,4
2024-05-08,4,-13013.665169,-162.6708146125,795.0273715447163,80,0.0,420495.4,5256.1925,2216.9700000000003,41,0.5125,14847.670722625,22716.708989062114,0.00019,56726.0,0.0,-3253.41629225,56725.99981,105123.85,4.857477940871676,2501.0517842857143,408286.3985714285,1715146200,64,Greed,64,Greed,4
2024-05-09,1,0.0,0.0,,1,0.0,0.84,0.84,0.84,0,0.0,7.79e-05,,7.79e-05,7.79e-05,0.0,0.0,0.0,0.84,,2505.830954857143,298258.19571428566,1715232600,55,Greed,55,Greed,4
2024-05-10,2,5767.161892,155.86924032432432,217.0879728346648,37,39.480396,605605.74,16367.722702702702,11986.49,9,0.24324324324324326,60568.594601856756,10235.086310727316,0.0002687,62376.0,1.0,2883.580946,62375.9997313,302802.87,1.38387852446942,502.42179071428575,264514.6842857143,1715319000,66,Greed,66,Greed,4
2024-05-11,1,678.4759280000001,67.8475928,93.32108146532121,10,10.511846,200627.23,20062.723,18815.325,5,0.5,67511.4,447.3612013177321,67085.0,67936.0,1.0,678.4759280000001,851.0,200627.23,1.3554734111970463,-930.1508347142857,221205.46,1715405400,53,Neutral,53,Neutral,3
2024-05-12,8,71574.11848800001,156.96078615789474,1402.284112762816,456,0.0,1256750.79,2756.0324342105264,326.56,192,0.42105263157894735,4881.7428253070175,21442.349080329837,0.24995,103265.0,1.0,8946.764811000001,103264.75005,157093.84875,8.87741918023324,9294.592377857143,397302.9514285714,1715491800,56,Greed,56,Greed,4
2024-06-01,1,135.58166400000002,6.16280290909091,37.338371573804935,22,0.0,298521.4,13569.154545454547,7353.530000000001,11,0.5,6586.107318181818,15151.388468026682,13.947,43799.0,1.0,135.58166400000002,43785.053,298521.4,5.212815715816457,9305.95325757143,436327.32714285713,1717219800,72,Greed,72,Greed,4
2024-06-02,1,-215.615907,-0.19817638511029412,12.69131338108202,1088,0.0,8047153.41,7396.280707720588,2164.67,518,0.47610294117647056,22118.307961134193,20245.162112718543,0.000895,43182.0,0.0,-215.615907,43181.999105,8047153.41,10.592191215581138,9275.150985142858,1547022.1157142858,1717306200,73,Greed,73,Greed,4
2024-06-03,1,6814.825139,83.10762364634145,146.9693030530839,82,27.00537,327218.02,3990.4636585365856,1942.915,49,0.5975609756097561,1.7171503902439025,1.9360757462923552,0.005843,6.3384,1.0,6814.825139,6.332557,327218.02,1.7473957375263074,12107.792457714288,1533696.7757142857,1717392600,73,Greed,73,Greed,4
2024-06-04,1,236.33513399999998,14.770945874999999,42.149058574016486,16,0.0,68223.67,4263.979375,2257.3,0,0.0,3328.08125,7.521012232406113,3320.0,3337.7,1.0,236.33513399999998,17.699999999999818,68223.67,2.672576452172783,12141.554619714287,1543442.8942857143,1717479000,73,Greed,73,Greed,4
2024-06-05,1,968.59038,107.62115333333333,237.64601629026436,9,0.0,206016.43,22890.714444444442,14386.77,8,0.8888888888888888,3109.866666666667,38.095636233038405,3076.0,3201.5,1.0,968.59038,125.5,206016.43,2.1878428740393083,11456.044403714286,1486358.7071428571,1717565400,75,Extreme Greed,75,Extreme Greed,5
2024-06-06,1,274.173187,1.1716802863247862,3.3659483181601715,234,0.0,137557.76,587.8536752136753,554.615,102,0.4358974358974359,30.647596965811967,112.65170422016628,0.64655,721.97,1.0,274.173187,721.32345,137557.76,1.549928108366489,11398.286869285716,1477348.782857143,1717651800,78,Extreme Greed,78,Extreme Greed,5
2024-06-07,1,108.87217799999999,4.53634075,10.03473956812726,24,0.0,2490.17,103.75708333333334,59.86,17,0.7083333333333334,1.10232597125,1.7517444478001014,0.00084561,3.815,1.0,108.87217799999999,3.81415439,2490.17,1.8125220287655273,1188.9659678571427,1298168.6942857145,1717738200,77,Extreme Greed,77,Extreme Greed,5
2024-06-08,2,267.318048,2.4982995140186914,8.28376598603028,107,0.0,61478.38,574.5642990654205,123.95,76,0.7102803738317757,1056.048024274299,7179.1864473601945,0.00026942,52748.0,1.0,133.659024,52747.99973058,30739.19,2.3679407531673173,1207.785451285714,1264305.4057142858,1717824600,72,Greed,72,Greed,4
2024-06-09,2,-1104.856765,-26.306113452380952,21.910908628012873,42,-24.855381,39047.1,929.6928571428571,90.725,4,0.09523809523809523,215.73034285714286,664.1790029643914,2.7535,2238.5,0.0,-552.4283825,2235.7465,19523.55,0.8024176954447669,1080.7510429999998,120290.21857142857,1717911000,75,Extreme Greed,75,Extreme Greed,5
2024-06-10,1,130.487079,5.9312308636363635,17.741123762831634,22,0.0,300130.56,13642.298181818182,6351.0599999999995,6,0.2727272727272727,62166.40909090909,324.91869445856975,61850.0,62849.0,1.0,130.487079,999.0,300130.56,2.5595921001430946,125.84560585714287,116420.58142857142,1717997400,72,Greed,72,Greed,4
2024-06-11,2,2817.83723,187.85581533333334,309.14971367702964,15,0.0,123906.9,8260.46,6823.5,6,0.4,58370.23423933333,30280.899533449774,0.17091,74580.0,1.0,1408.918615,74579.82909,61953.45,1.6369615790298846,494.6316195714286,124375.32857142856,1718083800,74,Greed,74,Greed,4
2024-06-12,10,-92624.643895,-229.83782604218362,6326.353243835444,403,0.0,3471019.22,8612.950918114144,497.04,205,0.5086848635235732,15604.850347196028,35117.0184331323,0.04314,101350.0,0.0,-9262.4643895,101349.95686,347101.922,27.406051045894696,-12875.830419714286,590804.2985714286,1718170200,72,Greed,72,Greed,4
2024-07-01,1,-835.681235,-8.615270463917525,34.037905927281535,97,0.0,1048850.06,10812.887216494846,3003.94,52,0.5360824742268041,7513.911021649485,15751.431533109208,0.82954,44269.0,0.0,-835.681235,44268.17046,1048850.06,3.5399842422543313,-13034.38105142857,720988.912857143,1719811800,53,Neutral,53,Neutral,3
2024-07-02,1,241.24212,16.082808,56.54657345272468,15,0.0,6758.73,450.582,337.68,7,0.4666666666666667,3.98582,2.899661550742973,0.041,6.15,1.0,241.24212,6.109,6758.73,3.310145115060983,-13015.471059714286,721598.7071428571,1719898200,51,Neutral,51,Neutral,3
2024-07-04,1,0.0,0.0,0.0,23,0.0,49988.14,2173.397391304348,680.92,0,0.0,3398.0043478260873,7.056169335531876,3390.6,3405.2,0.0,0.0,14.599999999999909,49988.14,0.0,-13053.659352285715,719957.2442857142,1720071000,44,Fear,44,Fear,2
2024-07-05,3,883.537693,49.08542738888889,57.79243416391551,18,9.50184,108717.58,6039.865555555556,3417.135,6,0.3333333333333333,1715.215231,1577.816436168854,0.008228,3112.7,1.0,294.51256433333333,3112.6917719999997,36239.193333333336,1.1538772289030395,-12769.603001142856,729910.17,1720157400,29,Fear,29,Fear,2
2024-07-06,3,8902.467416,20.23288049090909,103.25220050843622,440,0.0,1098588.76,2496.7926363636366,468.885,181,0.4113636363636364,1232.3513694545454,7387.736391954849,0.70696,69282.0,1.0,2967.4891386666663,69281.29304,366196.25333333336,4.862844706946093,-11516.462952999998,843975.6271428572,1720243800,26,Fear,26,Fear,2
2024-07-07,1,61.428942,6.1428942,4.100173833321266,10,4.9143155,498.75,49.875,39.9,0,0.0,3.9900000000000007,0.0,3.99,3.99,1.0,61.428942,0.0,498.75,0.5740213586421686,-11910.23556557143,826345.8914285714,1720330200,29,Fear,29,Fear,2
2024-07-08,3,188.789255,5.720886515151515,10.349410204930836,33,0.0,2492.77,75.53848484848484,38.98,12,0.36363636363636365,1.594288883939394,2.0319063678702913,0.00028607,4.75,1.0,62.92975166666667,4.74971393,830.9233333333333,1.5398876594031463,1348.8263129999998,330842.11285714287,1720416600,28,Fear,28,Fear,2
2024-07-10,1,0.0,0.0,0.0,21,0.0,219984.65,10475.459523809524,3379.1,0,0.0,63684.42857142857,182.24477260776848,63496.0,63858.0,0.0,0.0,362.0,219984.65,0.0,1468.2093465714283,212432.76857142855,1720589400,28,Fear,28,Fear,2
