date,unique_traders,total_pnl,avg_pnl,pnl_std,trade_count,median_pnl,total_volume,avg_trade_size,median_trade_size,buy_trades,buy_ratio,avg_price,price_volatility,min_price,max_price,profitable_ratio,avg_pnl_per_trader,price_range,volume_per_trader,pnl_volatility,rolling_pnl_7d,rolling_volume_7d,timestamp,value,classification,sentiment_value,sentiment_category,sentiment_score
2024-07-11,3,4493.353136,39.764187044247784,107.40420684370638,113,3.894186,111335.3,985.2681415929204,143.99,53,0.4690265486725664,1338.6989985840708,10003.089792496958,0.20328,76309.0,1.0,1497.7843786666665,76308.79672,37111.76666666667,2.6347687671809497,2075.653777428571,227372.27857142856,1720675800,29,Fear,29,Fear,2
2024-07-12,6,85906.279067,282.5864442993421,2478.915786497859,304,0.0,451733.42,1485.965197368421,209.72500000000002,110,0.3618421052631579,1359.7200135328949,11334.961635242154,0.014098,99351.0,1.0,14317.713177833333,99350.985902,75288.90333333334,8.741305645347484,14347.979358428569,284764.46142857143,1720762200,25,Fear,25,Fear,2
2024-08-01,1,-269.874439,-2.1083940546875,122.41963598502315,128,0.0,1522452.43,11894.159609375,1850.245,40,0.3125,15078.63093734375,20290.967629114057,0.313,45945.0,0.0,-269.874439,45944.687,1522452.43,39.383563934055495,14183.206196714282,486726.58285714284,1722490200,52,Neutral,52,Neutral,3
2024-08-02,1,770.756024,77.07560240000001,139.74567826297627,10,0.0,26051.12,2605.112,2084.025,2,0.2,10.0228845,9.311771566092043,0.000975,20.5,1.0,770.756024,20.499025,26051.12,1.7898764014272435,13021.533140714284,333506.92,1722576600,57,Greed,57,Greed,4
2024-08-03,1,4271.886236,63.7594960597015,148.75855367571137,67,12.4432,183583.18,2740.047462686567,482.56,19,0.2835820895522388,2.9131835970149256,2.6015710412934174,0.008232,7.3333,1.0,4271.886236,7.325068000000001,183583.18,2.297092515027781,13623.027039857141,359661.8385714285,1722663000,37,Fear,37,Fear,2
2024-08-04,2,1218.4267,40.614223333333335,222.45326275219327,30,0.0,211940.64,7064.688,2618.825,1,0.03333333333333333,3295.5374166666666,896.4206747924679,4.1548,3570.5,1.0,609.21335,3566.3452,105970.32,5.345606500218072,13770.11810342857,389582.9628571429,1722749400,34,Fear,34,Fear,2
2024-08-05,2,1.56576,0.12044307692307693,1.641780493282545,13,0.0,65973.57,5074.89,1400.0,12,0.9230769230769231,2312.7117384615385,1317.0287700616034,0.44038,3050.8,1.0,0.78288,3050.35962,32986.785,1.465295762986146,13770.341783428568,367581.37999999995,1722835800,26,Fear,26,Fear,2
2024-08-06,2,129.13883900000002,4.453063413793104,13.610694021064663,29,0.0,97351.88,3356.961379310345,1887.13,21,0.7241379310344828,10513.408993103449,23909.45819069592,1.0002,69243.0,1.0,64.56941950000001,69241.9998,48675.94,2.495972078123548,13146.882598142856,365583.7485714285,1722922200,17,Extreme Fear,17,Extreme Fear,1
2024-08-07,1,0.0,0.0,,1,0.0,497.64,497.64,497.64,1,1.0,3.19,,3.19,3.19,0.0,0.0,0.0,497.64,,874.5570171428571,301121.4942857143,1723008600,29,Fear,29,Fear,2
2024-08-08,2,-40.712216999999995,-4.5235796666666666,9.68187399440364,9,0.0,16299.35,1811.038888888889,250.0,5,0.5555555555555556,520.3884688888888,1031.28327497182,0.04,2339.4,0.0,-20.356108499999998,2339.36,8149.675,1.7528259894269604,907.2944774285716,85956.76857142858,1723095000,20,Extreme Fear,20,Extreme Fear,1
2024-08-09,1,0.0,0.0,,1,0.0,0.11,0.11,0.11,0,0.0,0.11756,,0.11756,0.11756,0.0,0.0,0.0,0.11,,797.1864740000001,82235.19571428571,1723181400,48,Neutral,48,Neutral,3
2024-08-10,2,5396.546638,149.90407327777777,223.40754741053024,36,29.615628,434584.13,12071.781388888889,2491.3999999999996,34,0.9444444444444444,58825.33341509444,14469.623319914062,0.0014717,62293.0,1.0,2698.273319,62292.9985283,217292.065,1.4804606831208007,957.8522457142857,118092.4742857143,1723267800,40,Fear,40,Fear,2
2024-08-11,2,-64.41354100000007,-1.6516292564102582,72.4018294193872,39,0.0,270700.44,6941.036923076923,2930.56,23,0.5897435897435898,46749.91446666667,37439.77303993247,3.6235,76539.0,0.0,-32.20677050000003,76535.3765,135350.22,27.30465778515503,774.5893541428571,126486.73142857142,1723354200,39,Fear,39,Fear,2
2024-08-12,6,15965.933436,38.014127228571425,232.61343396421137,420,0.0,932939.72,2221.2850476190474,352.9,82,0.19523809523809524,1787.932218347619,12791.004341189435,0.011172,100299.0,1.0,2660.988906,100298.988828,155489.95333333334,5.962287265876867,3055.213307857143,250339.03857142857,1723440600,25,Fear,25,Fear,2
2024-09-01,1,-826.349863,-11.804998042857143,214.1803231936485,70,0.0,870051.97,12429.313857142857,5087.139999999999,28,0.4,14127.109546714286,20885.372418201398,0.45719,47063.0,0.0,-826.349863,47062.54281,870051.97,16.72630659347286,2918.714921857143,360724.7657142857,1725168600,26,Fear,26,Fear,2
2024-09-03,1,9949.501624,85.03847541880343,154.56552113291943,117,25.01825,658178.75,5625.459401709401,943.3,83,0.7094017094017094,15.9975568974359,38.11867542971365,0.008819,133.68,1.0,9949.501624,133.67118100000002,658178.75,1.796469781461744,4340.072296714286,454679.20999999996,1725341400,26,Fear,26,Fear,2
2024-09-04,1,0.0,0.0,0.0,3,0.0,57063.840000000004,19021.280000000002,10184.23,0,0.0,3501.3000000000006,0.0,3501.3,3501.3,0.0,0.0,0.0,57063.840000000004,0.0,4345.888327714286,460502.70857142855,1725427800,27,Fear,27,Fear,2
2024-09-05,2,1147.595856,40.985566285714285,92.95513364107583,28,0.0,221966.12,7927.361428571428,3673.55,9,0.32142857142857145,2667.6832657142854,941.5421266559297,0.14381,3016.7,1.0,573.797928,3016.55619,110983.06,2.2139783231339694,4509.8305928571435,492212.13857142854,1725514200,29,Fear,29,Fear,2
2024-09-06,2,0.0,0.0,0.0,17,0.0,22410.22,1318.2482352941176,148.46,17,1.0,1091.865705882353,1738.8167543035813,2.9361,3705.2,0.0,0.0,3702.2639,11205.11,0.0,3738.895358857143,433330.15142857144,1725600600,22,Extreme Fear,22,Extreme Fear,1
2024-09-07,1,648.984412,43.265627466666665,40.13596510326193,15,37.164306,2736.45,182.42999999999998,197.8,0,0.0,4.546446666666666,0.2671064925847968,4.1938,4.99,1.0,648.984412,0.7961999999999998,2736.45,0.9067072444299024,3840.8093521428573,395049.58142857143,1725687000,23,Extreme Fear,23,Extreme Fear,1
2024-09-08,5,18082.071276,125.56993941666666,454.8533022933731,144,0.0,503204.86,3494.4781944444444,498.15999999999997,54,0.375,4675.996384345139,15085.83386160418,1.57e-05,59570.0,1.0,3616.4142552,59569.9999843,100640.972,3.5936913961537242,4143.114757857143,333658.88714285713,1725773400,29,Fear,29,Fear,2
2024-09-09,1,0.0,0.0,0.0,2,0.0,4014.4300000000003,2007.2150000000001,2007.2150000000001,2,1.0,0.0115,0.0,0.0115,0.0115,0.0,0.0,0.0,4014.4300000000003,0.0,4261.1647382857145,209939.23857142855,1725859800,26,Fear,26,Fear,2
2024-09-10,1,396.06272,28.290194285714286,61.54299038481661,14,0.0,220399.93,15742.852142857142,17148.715,11,0.7857142857142857,61800.92857142857,474.2797720731933,61320.0,62461.0,1.0,396.06272,1141.0,220399.93,2.1011465401864196,2896.387752000001,147399.40714285715,1725946200,33,Fear,33,Fear,2
2024-09-11,2,102.90894,1.196615581395349,2.90992297730476,86,0.0,193384.41,2248.655930232558,433.685,53,0.6162790697674418,8015.27303244186,23467.205243676726,0.47499,76357.0,1.0,51.45447,76356.52501,96692.205,1.3247301903669002,2911.0890291428577,166873.7742857143,1726032600,37,Fear,37,Fear,2
2024-09-12,10,6310.967676,11.708659881261596,100.89854795146519,539,0.0,983949.68,1825.5096103896105,149.9,455,0.8441558441558441,3534.2818935269015,18326.913058245325,0.013826,101279.0,1.0,631.0967676,101278.986174,98394.96800000001,7.9393538653305225,3648.713574857143,275728.5685714286,1726119000,31,Fear,31,Fear,2
2024-10-01,1,-1517.091342,-7.860576901554404,119.7894328095249,193,0.0,2057479.48,10660.515440414507,1901.0,92,0.47668393782383417,12914.76879230052,19322.706929713844,0.091809,46909.0,0.0,-1517.091342,46908.908191,2057479.48,13.519371722682115,3431.9862402857148,566452.7485714286,1727760600,50,Neutral,50,Neutral,3
2024-10-03,1,2482.9272,59.117314285714286,207.7542700001469,42,2.505,219973.85,5237.472619047619,1103.9299999999998,38,0.9047619047619048,34.630716666666665,55.4443214228381,2.6606,158.0,1.0,2482.9272,155.3394,219973.85,3.455814227042336,3693.9780671428575,597486.6628571429,1727933400,37,Fear,37,Fear,2
2024-10-04,1,5207.443414,127.01081497560976,197.76893722954745,41,32.322,351735.97,8578.926097560974,3999.01,40,0.975609756097561,3433.4707317073166,27.343045220882548,3420.0,3527.0,1.0,5207.443414,107.0,351735.97,1.5449392871003036,1854.7455154285722,575848.25,1728019800,41,Fear,41,Fear,2
2024-10-05,1,2101.741695,95.53371340909092,240.61922882162773,22,0.0,156882.0,7131.0,5012.195,16,0.7272727272727273,2946.254545454545,53.37453224751177,2892.3,3051.4,1.0,2101.741695,159.0999999999999,156882.0,2.492592694553567,2154.9943290000006,597686.4742857142,1728106200,49,Neutral,49,Neutral,3
2024-10-06,2,31.266804999999998,0.589939716981132,1.9665257227845954,53,0.0,46587.93,879.0175471698113,501.9,22,0.41509433962264153,280.7776811320755,977.2411549318537,1.1655,3668.8,1.0,15.633402499999999,3667.6345,23293.965,1.2368555246349207,2102.8806268571434,572856.1885714285,1728192600,50,Neutral,50,Neutral,3
2024-10-07,2,11977.734907,213.88812333928573,337.8156690082534,56,59.449220999999994,687900.21,12283.93232142857,3237.335,10,0.17857142857142858,2410.4582857142855,1335.3434416452624,2.3469,3148.0,1.0,5988.8674535,3145.6531,343950.105,1.572053698262691,3799.2843364285723,643501.3028571429,1728279000,50,Neutral,50,Neutral,3
2024-10-08,2,0.0,0.0,0.0,88,0.0,11339.29,128.8555681818182,119.485,87,0.9886363636363636,1.8675185526136362,1.7903974194332855,0.00012763,3.8045,0.0,0.0,3.80437237,5669.645,0.0,2897.717525571429,504556.9614285714,1728365400,49,Neutral,49,Neutral,3
2024-10-09,2,-219.729659,-73.24321966666666,96.08066367806516,3,-37.697891,2547.28,849.0933333333334,766.74,1,0.3333333333333333,1557.6705000000002,1348.9722792595664,0.0115,2336.7,0.0,-109.8648295,2336.6884999999997,1273.64,1.2941338496558086,3083.0549088571433,210995.21857142853,1728451800,49,Neutral,49,Neutral,3
2024-10-10,1,0.0,0.0,0.0,16,0.0,300024.33999999997,18751.521249999998,20868.605,16,1.0,59323.25,557.4002152852128,58948.0,60419.0,0.0,0.0,1471.0,300024.33999999997,0.0,2728.3510231428577,222431.0028571428,1728538200,39,Fear,39,Fear,2
2024-10-11,3,991.114334,5.728984589595376,22.471438317729593,173,0.0,413636.7,2390.963583815029,1110.6,48,0.2774566473988439,22619.335545589594,35169.11698739768,0.012354,80010.0,1.0,330.37144466666666,80009.987646,137878.9,3.339499150061337,2126.0182974285717,231273.9642857143,1728624600,32,Fear,32,Fear,2
2024-10-12,11,39325.770231,24.640206911654136,141.48990698368283,1596,0.787791,3150424.08,1973.94992481203,257.42,530,0.33208020050125314,2885.2128903966163,16284.591066578498,0.009052,98182.0,1.0,3575.070021,98181.990948,286402.1890909091,5.518282573584537,7443.736659714287,658922.8328571429,1728711000,49,Neutral,49,Neutral,3
2024-11-01,2,-164.08950099999998,-7.813785761904761,101.92627878710132,21,0.0,305314.1,14538.766666666666,5005.45,13,0.6190476190476191,12141.70542857143,19629.102693301003,99.834,46543.0,0.0,-82.04475049999999,46443.166,152657.05,11.564415285387408,7415.828616000001,695883.7142857143,1730439000,75,Extreme Greed,75,Extreme Greed,5
2024-11-02,1,983.443176,28.924799294117648,108.62231864377547,34,0.0,212311.82,6244.465294117647,710.625,23,0.6764705882352942,17890.449081970586,22727.73364910264,0.037265,48195.0,1.0,983.443176,48194.962735,212311.82,3.6298428462685624,5845.2155115714295,627942.5157142858,1730525400,72,Greed,72,Greed,4
2024-11-03,1,3588.179495,85.43284511904761,196.10462239183906,42,18.72521,176519.44999999998,4202.844047619047,480.955,12,0.2857142857142857,2.647672619047619,3.1884582870593374,0.51433,7.8145,1.0,3588.179495,7.30017,176519.44999999998,2.268866911898317,6357.812582285716,651539.6814285713,1730611800,74,Greed,74,Greed,4
2024-11-04,1,389.743164,24.35894775,69.72639235953248,16,0.0,76400.96,4775.06,1892.385,14,0.875,3521.2125,27.376775437098644,3503.7,3586.9,1.0,389.743164,83.20000000000027,76400.96,2.749577507983646,6444.880128428573,662090.207142857,1730698200,70,Greed,70,Greed,4
2024-11-05,1,251.604742,27.956082444444444,38.73340875071258,9,6.001646,63248.95,7027.661111111111,1500.46,0,0.0,2922.511111111111,0.09279607271365267,2922.4,2922.6,1.0,251.604742,0.1999999999998181,63248.95,1.3376605355723465,6480.823663000001,628265.1514285713,1730784600,70,Greed,70,Greed,4
2024-11-06,3,4320.631811,35.12708789430894,169.7310786091785,123,0.0,373279.92,3034.7960975609753,132.38,114,0.926829268292683,8924.726208861788,21720.079989299902,0.82785,67164.0,1.0,1440.2106036666667,67163.17215,124426.64,4.698166625157629,6956.469016857144,622499.8971428572,1730871000,70,Greed,70,Greed,4
2024-11-07,1,1876.812082,98.77958326315789,150.16378122148163,19,0.0,169887.02,8941.422105263156,8977.39,10,0.5263157894736842,3151.1421052631576,47.5096401421096,3089.5,3198.1,1.0,1876.812082,108.59999999999991,169887.02,1.5049549848834392,1606.6178527142868,196708.88857142857,1730957400,77,Extreme Greed,77,Extreme Greed,5
2024-11-08,2,847.7766200000001,35.32402583333334,91.2518343902943,24,0.0,44230.21,1842.9254166666667,200.41000000000003,16,0.6666666666666666,892.9076233333334,1289.868720484457,0.0305,2679.0,1.0,423.88831000000005,2678.9695,22115.105,2.5121619175415177,1751.1701557142867,159411.19,1731043800,75,Extreme Greed,75,Extreme Greed,5
2024-11-09,1,0.0,0.0,,1,0.0,0.54,0.54,0.54,0,0.0,1.5e-05,,1.5e-05,1.5e-05,0.0,0.0,0.0,0.54,,1610.6782734285723,129081.00714285715,1731130200,75,Extreme Greed,75,Extreme Greed,5
2024-11-10,2,8885.327477,341.74336450000004,367.9830904604618,26,232.8029795,488904.19,18804.007307692307,16272.82,0,0.0,59195.38462157692,12081.229214103892,0.000161,62802.0,1.0,4442.6637385,62801.999839,244452.095,1.073640305180764,2367.4136994285727,173707.39857142858,1731216600,78,Extreme Greed,78,Extreme Greed,5
2024-11-11,4,6749.630996,18.09552545844504,60.90235280005483,373,0.0,1570572.42,4210.649919571046,1721.57,94,0.2520107238605898,6882.198738908847,19334.287999336833,0.012353,84835.0,1.0,1687.407749,84834.987647,392643.105,3.189352025561602,3275.969104000001,387160.46428571426,1731303000,76,Extreme Greed,76,Extreme Greed,5
2024-11-12,12,319051.554217,261.30348420720725,2003.1396625321522,1221,2.259711,2194098.33,1796.9683292383293,149.98,171,0.14004914004914004,4356.6742505249795,20185.601678151805,0.010395,100979.0,1.0,26587.629518083337,100978.989605,182841.5275,7.636725332057607,48818.819029000006,691567.5185714286,1731389400,80,Extreme Greed,80,Extreme Greed,5
2024-12-01,1,-1925.519024,-275.0741462857143,669.9280140108323,7,0.0,200082.27,28583.181428571428,43745.48,5,0.7142857142857143,39774.47142857143,17550.311600910325,1.3,46845.0,0.0,-1925.519024,46843.7,200082.27,2.426623510473564,47926.511766857155,666824.997142857,1733031000,81,Extreme Greed,81,Extreme Greed,5
2024-12-02,1,913.8817869999998,57.11761168749999,828.6571214700353,16,-26.696452,227247.69999999998,14202.981249999999,6349.635,11,0.6875,28717.7418125,24805.345609028725,19.734,49906.0,1.0,913.8817869999998,49886.266,227247.69999999998,14.258278986510108,47788.95029614286,675019.38,1733117400,80,Extreme Greed,80,Extreme Greed,5
2024-12-03,1,3039.166,379.89575,521.6006618377291,8,16.76285,103040.85,12880.10625,7729.5,1,0.125,9.235375,0.18844395718621518,8.769,9.302,1.0,3039.166,0.5329999999999995,103040.85,1.3694053079818536,48102.00592185715,683420.9000000001,1733203800,76,Extreme Greed,76,Extreme Greed,5
2024-12-04,3,-592.6458390000001,-4.594153790697676,122.96278242038903,129,4.032548,442088.59,3427.0433333333335,1030.72,43,0.3333333333333333,555.2924815968992,1259.0653270732723,0.005788,3450.6,0.0,-197.54861300000005,3450.594212,147362.86333333334,21.980586701935078,48017.342230571434,746576.3357142858,1733290200,78,Extreme Greed,78,Extreme Greed,5
2024-12-05,2,0.0,0.0,0.0,23,0.0,55179.56,2399.111304347826,999.93,17,0.7391304347826086,1272.34931,1478.0560671031742,0.14686,2939.4,0.0,0.0,2939.2531400000003,27589.78,0.0,46748.00973385714,684615.6742857143,1733376600,84,Extreme Greed,84,Extreme Greed,5
2024-12-06,2,-21886.531493,-86.16744682283463,276.1864377273308,254,0.0,193407.96,761.4486614173228,553.405,115,0.452755905511811,1364.4425952755905,9617.301602342683,2.2958,69438.0,0.0,-10943.2657465,69435.7042,96703.98,3.168458499061834,42657.12937828572,487877.8942857143,1733463000,72,Greed,72,Greed,4
2024-12-07,2,1412.314654,74.33235021052631,112.44287174423458,19,0.0,89582.97,4714.893157894737,3124.79,19,1.0,1621.380905263158,1578.2952914002396,2.1249,3097.6,1.0,706.157327,3095.4751,44791.485,1.4926239713748204,-2719.9048449999996,187232.84285714285,1733549400,75,Extreme Greed,75,Extreme Greed,5
2024-12-08,3,858.6705000000001,17.88896875,64.64753431191872,48,0.0,54167.32,1128.4858333333334,160.74,39,0.8125,855.5521279583332,1220.6922846961297,0.0002,2564.3,1.0,286.2235,2564.2998000000002,18055.773333333334,3.4225020522583436,-2322.163484428571,166387.85,1733635800,79,Extreme Greed,79,Extreme Greed,5
2024-12-10,1,541.55471,54.155471,63.374247509280295,10,20.7155355,159713.4,15971.34,13531.815,7,0.7,62726.0,376.58494688744844,62490.0,63328.0,1.0,541.55471,838.0,159713.4,1.149011083765023,-2375.3530668571425,156740.09285714288,1733808600,78,Extreme Greed,78,Extreme Greed,5
2024-12-11,4,3494.399394,20.435084175438597,80.90406191682668,171,0.0,1226354.52,7171.663859649123,1761.14,98,0.5730994152046783,33638.82797450292,42225.76909365375,0.35243,89313.0,1.0,873.5998485,89312.64757,306588.63,3.7743757502725668,-2310.3197248571423,317213.4742857143,1733895000,74,Greed,74,Greed,4
2024-12-12,14,599151.795008,310.1199767122153,1920.807926510415,1932,10.681751,4557189.87,2358.7939285714288,210.555,421,0.2179089026915114,2265.6843708274846,14642.174841845246,0.0053667,102380.0,1.0,42796.55678628571,102379.9946333,325513.5621428572,6.173849544502745,83367.457539,905085.0857142858,1733981400,83,Extreme Greed,83,Extreme Greed,5
2025-01-01,6,-9528.065345,-99.25068067708334,989.3224125030252,96,0.0,282582.1,2943.5635416666664,200.5,68,0.7083333333333334,8822.579264114584,27520.272915650094,0.033083,94394.0,0.0,-1588.0108908333334,94393.966917,47097.01666666666,9.868485738163951,82006.30534685715,937571.162857143,1735709400,66,Greed,66,Greed,4
2025-01-02,12,32300.205017,50.946695610410096,446.4149984530011,634,1.763296,1363746.44,2151.019621451104,589.245,352,0.555205047318612,4211.306208217666,20271.120413807046,0.014834,102511.0,1.0,2691.683751416667,102510.985166,113645.53666666667,8.593713097769008,89747.26770542856,1104762.3742857145,1735795800,70,Greed,70,Greed,4
2025-01-03,5,10596.108968,60.897177977011495,134.45844944800064,174,0.0,263824.13,1516.230632183908,614.6800000000001,105,0.603448275862069,3119.315583793103,14151.460454216185,0.007995,86000.0,1.0,2119.2217936,85999.992005,52764.826,2.1722872325122524,91059.23832171429,1129653.9685714287,1735882200,74,Greed,74,Greed,4
2025-01-04,9,-2202.6622420000003,-11.472199177083334,297.0927135926486,192,0.0,704445.1900000001,3668.9853645833336,500.015,92,0.4791666666666667,11425.36599246875,28721.364354609497,0.00729,85133.0,0.0,-244.74024911111115,85132.99271,78271.68777777778,23.82039521454505,90621.90507285715,1222550.8071428572,1735968600,73,Greed,73,Greed,4
2025-01-05,11,54536.829297000004,44.338885607317074,972.822640253054,1230,0.0,10720240.52,8715.642699186992,799.85,686,0.5577235772357724,12672.104182341463,31890.030734646974,0.11427,95098.0,1.0,4957.893572454545,95097.88573,974567.32,21.456695003020847,98335.51572814285,2731197.5385714285,1736055000,72,Greed,72,Greed,4
2025-02-01,9,8716.519087,24.145482235457067,117.65384746788118,361,0.0,774674.84,2145.9136842105263,249.68,107,0.296398891966759,10094.891613861495,29382.580691575953,0.01135,97378.0,1.0,968.5021207777778,97377.98865,86074.98222222221,4.678925874882614,99081.53282714286,2666671.87,1738387800,68,Greed,68,Greed,4
2025-02-02,13,162854.759623,123.46835452843062,1386.063749537317,1319,0.0,5661092.29,4291.957763457164,679.1,833,0.6315390447308568,5409.088864621683,22207.067687737403,0.012122,101276.0,1.0,12527.28920176923,101275.987878,435468.6376923077,11.135872686584905,36753.384914999995,2824372.2157142856,1738474200,60,Greed,60,Greed,4
2025-02-03,10,66914.320708,125.77879832330827,523.6453822891723,532,0.0120845,6460848.74,12144.452518796992,1487.225,274,0.5150375939849624,9371.077831221804,26982.38944846609,0.10683,94993.0,1.0,6691.4320708,94992.89317,646084.8740000001,4.130386067816989,47673.72577971428,3706981.7357142856,1738560600,44,Fear,44,Fear,2
2025-02-04,11,202212.740938,187.930056633829,783.0878201791388,1076,28.665758500000003,3867930.6,3594.7310408921935,601.435,128,0.11895910780669144,7414.856134767658,24028.23786198537,0.007317,87233.0,1.0,18382.976448909092,87232.992683,351630.05454545456,4.144855689620973,71946.94519700001,4064722.3299999996,1738647000,72,Greed,72,Greed,4
2025-03-01,9,6028.486793,11.867099986220472,63.36348991609002,508,0.0,771208.99,1518.1279330708662,221.93,169,0.33267716535433073,9803.075828159448,29282.3129011784,0.00706,98418.0,1.0,669.8318658888888,98417.99294,85689.88777777778,4.924457724269394,71294.42774342858,4137205.881428571,1740807000,20,Extreme Fear,20,Extreme Fear,1
2025-03-02,12,348871.326269,146.58459086932774,1292.2669438694834,2380,0.0,22592901.37,9492.815701680673,885.895,1091,0.4584033613445378,4859.416197735714,18879.794597895165,0.013228,99530.0,1.0,29072.610522416668,99529.986772,1882741.7808333335,8.756110216232967,121447.85467357143,7264128.1928571435,1740893400,26,Fear,26,Fear,2
2025-03-03,14,616413.032233,415.9332201302294,1682.4075657180047,1482,9.005766,8244590.38,5563.151403508772,998.7149999999999,1069,0.7213225371120108,3500.2799614203777,15421.663414209781,0.008413,93931.0,1.0,44029.50230235715,93930.991587,588899.3128571429,4.035196728129515,201715.88366442858,6910463.887142858,1740979800,33,Fear,33,Fear,2
2025-03-04,17,-2365.961276,-1.353524757437071,81.23364439225159,1748,0.0,8670233.15,4960.087614416476,796.26,956,0.5469107551487414,4420.623526697368,18235.829962477786,0.006122,87360.0,0.0,-139.17419270588235,87359.993878,510013.71470588236,34.51573820736561,200132.67218400002,8038400.788571429,1741066200,15,Extreme Fear,15,Extreme Fear,1
2025-04-01,9,2553.537968,6.882851665768194,75.44665860042967,371,0.0,1826029.6199999999,4921.912722371967,443.86,76,0.20485175202156333,7797.149899172507,23839.600556082944,0.024105,98833.0,1.0,283.7264408888889,98832.975895,202892.18,9.570985450362056,177232.49766185717,7490534.6928571435,1743485400,34,Fear,34,Fear,2
2025-04-02,13,416876.88812,165.9541752070064,2184.1682347008123,2512,0.0,15678409.27,6241.404964171974,640.5999999999999,1143,0.455015923566879,15703.124947818073,35955.83339655142,0.012343,102446.0,1.0,32067.452932307693,102445.987657,1206031.4823076923,13.082441526201206,227227.15014928574,8807329.054285714,1743571800,44,Fear,44,Fear,2
2025-04-03,16,182075.566585,75.80165136761032,940.9538347121356,2402,0.0,11124247.15,4631.24360949209,806.44,1748,0.7277268942547876,2545.786879941715,14405.01862159367,0.08498,87791.0,1.0,11379.7229115625,87790.91502,695265.446875,12.251739617007319,224350.410956,9843945.704285715,1743658200,25,Fear,25,Fear,2
2025-04-04,14,-25515.678949999998,-20.05949602987421,581.2639206142574,1272,0.0,3835545.73,3015.3661399371067,564.405,499,0.3922955974842767,4732.811766900943,18982.60437823849,0.006572,84422.0,0.0,-1822.5484964285713,84421.993428,273967.55214285717,27.601036596018165,219844.10156414288,10281708.095714286,1743744600,28,Fear,28,Fear,2
2025-05-01,8,3187.719363,13.337737920502093,59.881873800685874,239,0.0,451943.57,1890.977280334728,110.97,65,0.2719665271966527,7824.165539405858,26542.788016363855,0.0399,98614.0,1.0,398.464920375,98613.9601,56492.94625,4.176521717213037,170460.729149,7118714.124285714,1746077400,53,Neutral,53,Neutral,3
2025-05-02,11,56706.235562,43.721075992289904,444.31734690264386,1297,0.0,8743231.51,6741.1191287586735,953.58,689,0.5312259059367772,21926.164488164224,40574.009588569235,0.012159,100831.0,1.0,5155.112323818182,100830.987841,794839.2281818182,9.935300907769884,90502.61533885714,7189948.571428572,1746163800,67,Greed,67,Greed,4
